# Mag, Magerr, MJD
7.6171,0.0100,7.7343
7.6813,0.0100,196.6225
7.6651,0.0100,202.6980
7.6915,0.0100,208.8537
7.7284,0.0100,216.3052
7.7382,0.0100,224.2680
7.7606,0.0100,229.6182
7.7562,0.0100,236.8570
7.7263,0.0100,243.5890
7.7513,0.0100,252.9215
7.7308,0.0100,258.4337
7.7139,0.0100,264.7187
7.7435,0.0100,272.2987
7.7794,0.0100,279.8678
7.7799,0.0100,287.5021
7.8128,0.0100,293.9206
7.8341,0.0100,302.8978
7.8435,0.0100,307.3842
7.9006,0.0100,315.9030
7.9249,0.0100,321.6450
7.9001,0.0100,329.0435
7.9050,0.0100,337.0227
7.9264,0.0100,342.6814
7.9883,0.0100,350.2641
7.9973,0.0100,357.7977
7.9828,0.0100,363.4941
7.9883,0.0100,371.5238
8.1813,0.0100,560.5063
8.1944,0.0100,568.6645
8.2057,0.0100,573.7175
8.2474,0.0100,581.7396
8.2520,0.0100,587.4953
8.3041,0.0100,595.4459
8.2871,0.0100,604.4049
8.3219,0.0100,608.4957
8.3291,0.0100,616.5030
8.3287,0.0100,621.9312
8.3709,0.0100,631.3430
8.3838,0.0100,634.7857
8.4052,0.0100,643.7146
8.4204,0.0100,650.2314
8.4603,0.0100,658.5188
8.4435,0.0100,663.6794
8.4602,0.0100,672.7913
8.4687,0.0100,677.5484
8.4541,0.0100,685.8860
8.4581,0.0100,691.6027
8.4774,0.0100,700.4610
8.4865,0.0100,707.3722
8.5009,0.0100,713.9663
8.4969,0.0100,721.0693
8.4433,0.0100,726.5617
8.4613,0.0100,735.5817
8.3861,0.0100,925.3538
8.3610,0.0100,931.0885
8.3496,0.0100,937.5221
8.2930,0.0100,943.5730
8.2976,0.0100,951.0376
8.2983,0.0100,958.8307
8.2929,0.0100,965.1123
8.2738,0.0100,971.7478
8.2703,0.0100,980.1459
8.2710,0.0100,986.5164
8.2839,0.0100,995.0057
8.2855,0.0100,1002.2810
8.2757,0.0100,1007.2795
8.2950,0.0100,1013.2975
8.2772,0.0100,1022.6816
8.2876,0.0100,1028.8213
8.2868,0.0100,1037.7496
8.2653,0.0100,1041.7608
8.2481,0.0100,1050.2375
8.1993,0.0100,1056.2356
8.1729,0.0100,1067.1192
8.1593,0.0100,1070.6599
8.1558,0.0100,1077.9814
8.1061,0.0100,1083.4905
8.0964,0.0100,1091.8543
8.1057,0.0100,1098.9913
7.8485,0.0100,1288.5821
7.7928,0.0100,1295.4584
7.7830,0.0100,1299.4900
7.7565,0.0100,1308.8938
7.7251,0.0100,1315.7864
7.7022,0.0100,1323.6234
7.6659,0.0100,1328.9845
7.6006,0.0100,1339.0422
7.5837,0.0100,1342.4526
7.5939,0.0100,1350.1677
7.6254,0.0100,1359.4106
7.6120,0.0100,1365.0418
7.5808,0.0100,1371.8870
7.5809,0.0100,1379.7273
7.5764,0.0100,1386.2117
7.6130,0.0100,1392.3564
7.5952,0.0100,1397.9892
7.6340,0.0100,1408.7484
7.6210,0.0100,1414.9063
7.6192,0.0100,1419.5100
7.6193,0.0100,1428.9298
7.6260,0.0100,1437.1133
7.6444,0.0100,1442.1342
7.5814,0.0100,1446.7457
7.5669,0.0100,1457.0158
7.5236,0.0100,1464.3783
7.4159,0.0100,1652.2688
7.4274,0.0100,1659.7234
7.4395,0.0100,1666.2344
7.4233,0.0100,1674.4776
7.4195,0.0100,1679.6358
7.4587,0.0100,1687.3060
7.4266,0.0100,1693.3799
7.4169,0.0100,1701.6782
7.4058,0.0100,1708.9544
7.4061,0.0100,1714.7794
7.4604,0.0100,1721.1791
7.4744,0.0100,1729.9834
7.4635,0.0100,1735.6038
7.4927,0.0100,1744.2189
7.4962,0.0100,1750.7424
7.5304,0.0100,1757.4973
7.5547,0.0100,1764.1966
7.5120,0.0100,1772.6038
7.5247,0.0100,1779.4207
7.5022,0.0100,1783.1403
7.5159,0.0100,1791.8338
7.5342,0.0100,1798.1569
7.5064,0.0100,1805.9372
7.5169,0.0100,1812.8965
7.5531,0.0100,1818.2978
7.6024,0.0100,1828.4731
8.0398,0.0100,2021.7774
8.0588,0.0100,2030.3942
8.0473,0.0100,2038.5716
8.0744,0.0100,2043.0136
8.0799,0.0100,2050.6881
8.0964,0.0100,2056.4081
8.0593,0.0100,2065.5781
8.0563,0.0100,2072.0821
8.1024,0.0100,2080.4526
8.1414,0.0100,2085.1967
8.2061,0.0100,2094.4926
8.2137,0.0100,2100.7245
8.2247,0.0100,2106.9258
8.2175,0.0100,2113.2394
8.2473,0.0100,2120.6574
8.2822,0.0100,2128.0130
8.2898,0.0100,2135.2789
8.3141,0.0100,2142.6784
8.3303,0.0100,2148.6654
8.3320,0.0100,2155.5052
8.3123,0.0100,2161.4406
8.3110,0.0100,2171.4274
8.3089,0.0100,2176.9825
8.3243,0.0100,2183.1630
8.3368,0.0100,2191.6972
8.5347,0.0100,2381.0549
8.5376,0.0100,2386.6341
8.5451,0.0100,2394.3243
8.5738,0.0100,2400.3111
8.5385,0.0100,2407.7285
8.4838,0.0100,2416.1344
8.4776,0.0100,2421.7453
8.4986,0.0100,2429.7653
8.4577,0.0100,2435.6445
8.4332,0.0100,2442.9071
8.4490,0.0100,2449.3124
8.4306,0.0100,2456.1457
8.4373,0.0100,2464.1741
8.4066,0.0100,2472.2139
8.3640,0.0100,2477.8322
8.3402,0.0100,2484.3656
8.3106,0.0100,2492.8281
8.3307,0.0100,2497.8088
8.3369,0.0100,2505.5713
8.3405,0.0100,2513.1156
8.3302,0.0100,2519.3509
8.3544,0.0100,2526.8169
8.3251,0.0100,2533.9657
8.2993,0.0100,2542.5816
8.2878,0.0100,2547.1049
8.2683,0.0100,2556.8270
8.2823,0.0100,2562.7506
7.9159,0.0100,2751.2411
7.8975,0.0100,2757.5109
7.9150,0.0100,2764.1617
7.8931,0.0100,2771.0108
7.8801,0.0100,2780.0659
7.8436,0.0100,2784.4794
7.8757,0.0100,2793.5515
7.9049,0.0100,2799.7829
7.9074,0.0100,2806.1315
7.8668,0.0100,2816.2607
7.8466,0.0100,2820.3046
7.8427,0.0100,2828.5850
7.8364,0.0100,2835.7063
7.7882,0.0100,2843.0747
7.7746,0.0100,2849.5917
7.7396,0.0100,2855.9263
7.7110,0.0100,2863.4277
7.6814,0.0100,2870.5022
7.6404,0.0100,2877.2281
7.6600,0.0100,2883.7005
7.6374,0.0100,2890.2839
7.6558,0.0100,2898.0255
7.6414,0.0100,2904.5692
7.6415,0.0100,2911.5207
7.6195,0.0100,2921.9071
7.6191,0.0100,2925.1329
7.3885,0.0100,3114.9275
7.3819,0.0100,3123.0543
7.3638,0.0100,3128.8564
7.3881,0.0100,3135.7493
7.4267,0.0100,3143.9183
7.4248,0.0100,3150.2618
7.3749,0.0100,3156.9526
7.3665,0.0100,3164.1661
7.3852,0.0100,3171.9243
7.3629,0.0100,3180.1174
7.3812,0.0100,3183.7996
7.3746,0.0100,3190.1865
7.3622,0.0100,3197.7316
7.3862,0.0100,3204.9098
7.4047,0.0100,3213.6062
7.4291,0.0100,3219.6039
7.4838,0.0100,3226.7613
7.5211,0.0100,3232.7207
7.5050,0.0100,3239.6552
7.5449,0.0100,3247.3471
7.5729,0.0100,3254.5716
7.5908,0.0100,3263.3553
7.6248,0.0100,3269.6010
7.6476,0.0100,3277.9000
7.6525,0.0100,3281.6899
7.6381,0.0100,3290.6752
7.9260,0.0100,3476.3489
7.9426,0.0100,3485.7925
7.9577,0.0100,3492.8594
7.9826,0.0100,3501.9092
8.0019,0.0100,3506.6056
7.9897,0.0100,3514.7762
8.0300,0.0100,3519.6660
8.0101,0.0100,3528.6571
8.0704,0.0100,3533.3458
8.0978,0.0100,3541.8679
8.0813,0.0100,3547.8854
8.1012,0.0100,3555.7499
8.0739,0.0100,3563.0081
8.0992,0.0100,3567.9464
8.1702,0.0100,3577.2453
8.1343,0.0100,3583.2318
8.1633,0.0100,3592.2486
8.2102,0.0100,3597.6653
8.2129,0.0100,3605.7998
8.2195,0.0100,3614.1864
8.2211,0.0100,3618.8435
8.2657,0.0100,3627.1811
8.2713,0.0100,3632.4292
8.2849,0.0100,3641.2413
8.3735,0.0100,3646.0031
8.3576,0.0100,3652.1568
